route_id,agency_id,route_short_name,route_long_name,route_type
routes:IC19714,0,IC19714,Kortrijk - Lille Flandres(f),2
routes:IC19718,0,IC19718,Kortrijk - Lille Flandres(f),2
routes:IC19721,0,IC19721,Lille Flandres(f) - Kortrijk,2
routes:IC19723,0,IC19723,Lille Flandres(f) - Kortrijk,2
routes:IC19725,0,IC19725,Lille Flandres(f) - Kortrijk,2
routes:IC19728,0,IC19728,Kortrijk - Lille Flandres(f),2
routes:IC19732,0,IC19732,Kortrijk - Lille Flandres(f),2
routes:IC19734,0,IC19734,Kortrijk - Lille Flandres(f),2
routes:IC19738,0,IC19738,Kortrijk - Lille Flandres(f),2
routes:IC19743,0,IC19743,Lille Flandres(f) - Kortrijk,2
routes:IC19749,0,IC19749,Lille Flandres(f) - Kortrijk,2
routes:IC19916,0,IC19916,Doornik - Lille Flandres(f),2
routes:IC19920,0,IC19920,Doornik - Lille Flandres(f),2
routes:IC19925,0,IC19925,Lille Flandres(f) - Doornik,2
routes:IC19930,0,IC19930,Doornik - Lille Flandres(f),2
routes:IC19936,0,IC19936,Doornik - Lille Flandres(f),2
routes:IC19939,0,IC19939,Lille Flandres(f) - Doornik,2
routes:IC19943,0,IC19943,Lille Flandres(f) - Doornik,2
routes:IC19949,0,IC19949,Lille Flandres(f) - Doornik,2
routes:IC19954,0,IC19954,Doornik - Lille Flandres(f),2
routes:IC19960,0,IC19960,Doornik - Lille Flandres(f),2
routes:IC19964,0,IC19964,Doornik - Lille Flandres(f),2
routes:IC19968,0,IC19968,Doornik - Lille Flandres(f),2
routes:IC19972,0,IC19972,Doornik - Lille Flandres(f),2
routes:IC19976,0,IC19976,Doornik - Lille Flandres(f),2
routes:L556,0,L556,Brugge - Gent-Sint-Pieters,2
routes:L559,0,L559,Brugge - Gent-Sint-Pieters,2
routes:L563,0,L563,Brugge - Gent-Sint-Pieters,2
routes:L567,0,L567,Brugge - Gent-Sint-Pieters,2
routes:L571,0,L571,Brugge - Gent-Sint-Pieters,2
routes:L578,0,L578,Gent-Sint-Pieters - Brugge,2
routes:L582,0,L582,Gent-Sint-Pieters - Brugge,2
